Topic,Link,score
Polish Amazon warehouse employee dies of overworking at 49 ,https://gloswielkopolski.pl/smierc-w-amazonie-potraktowali-go-jak-typowy-odpad-jak-smiecia-czy-49letni-pracownik-amazona-musial-umrzec/ar/c1-15844965,192
Brave Search replaces Google as default search engine in the Brave browser,https://brave.com/search-and-web-discovery/,332
Optimizations Enabled by -ffast-Math,https://kristerw.github.io/2021/10/19/fast-math/,98
Avoid all links to kicad-pcb.org � Use kicad.org,https://forum.kicad.info/t/warning-avoid-all-links-to-kicad-pcb-org-use-kicad-org/31521,116
Simple Linux kernel memory corruption bug can lead to complete system compromise,https://googleprojectzero.blogspot.com/2021/10/how-simple-linux-kernel-memory.html,101
"Google, Mozilla Close to Finalizing Sanitizer API for Chrome and Firefox Browse",https://portswigger.net/daily-swig/google-mozilla-close-to-finalizing-sanitizer-api-for-chrome-and-firefox-browsers,56
AI can see through you: CEOs' language under machine microscope,https://www.reuters.com/technology/ai-can-see-through-you-ceos-language-under-machine-microscope-2021-10-20/,20
New Optical Switch Up to 1000x Faster Than Transistors,https://spectrum.ieee.org/optical-switch-1000x-faster-transistors,175
Show HN: Combining UTC and local times (time zones) in one new clock,https://thehtime.com,6
Writer Liu Cixin on How His Visions of the Future Collide with Reality,https://www.wsj.com/articles/writer-liu-cixin-on-how-his-visions-of-the-future-collide-with-reality-11633446000,49
Overly analytical guide to escorting,https://knowingless.com/2021/10/19/becoming-a-whorelord-the-overly-analytical-guide-to-escorting/,479
Carbon-neutrality is a tale: the race for renewables is burning Europe's forests,https://www.theguardian.com/world/2021/jan/14/carbon-neutrality-is-a-fairy-tale-how-the-race-for-renewables-is-burning-europes-forests,18
Jerry (YC S17) Is Hiring Senior Software Engineer,https://jobs.lever.co/getjerry/8a65340f-f253-4da6-8259-ad1fe527a7e8,zero
Who reads digitised Malay manuscripts?,https://blogs.bl.uk/asian-and-african/2021/10/who-reads-digitised-malay-manuscripts.html,31
The FDA wants you to be able to buy a hearing aid without a prescription,https://www.npr.org/2021/10/19/1047303559/fda-hearing-aid-prescription-over-the-counter,653
A River Reawakened,https://orionmagazine.org/article/a-river-reawakened/,14
Study: Recycled Lithium Batteries as Good as Newly Mined,https://spectrum.ieee.org/recycled-batteries-good-as-newly-mined,537
Single sign-on: What we learned during our identity alpha,https://gds.blog.gov.uk/2021/10/19/single-sign-on-what-we-learned-during-our-identity-alpha/,116
32 Bit Real Estate,https://fly.io/blog/32-bit-real-estate/,172
UserTesting S-1,https://sec.report/Document/0001628280-21-020026/usertestingincs-1.htm,29
Collection of real world database schemas from open-source packages,https://drawsql.app/templates,18
Music on a Clear M�bius Strip [video],https://www.youtube.com/watch?v=sToqbqP0tFk,13
I found an Amazon folder with thousands of audio recordings from my home gadgets,https://nypost.com/2021/10/19/i-found-an-amazon-folder-with-thousands-of-audio-recordings-from-my-home-gadgets/,54
The Algebra of Types,https://miklos-martin.github.io//learn/fp/category-theory/2018/02/01/adventures-in-category-theory-the-algebra-of-types.html,23
What's Wrong with My Benchmark Results?,https://neverworkintheory.org/2021/10/19/whats-wrong-with-my-benchmark-results.html,3
Long-term NAEP scores for 13-year-olds drop for first time since testing began,https://www.the74million.org/article/naep-long-term-unprecedented-performance-drop-american-13-year-olds/,82
When Americans picnicked in cemeteries,https://www.atlasobscura.com/articles/picnic-in-cemeteries-america,36
Google Pixel 6 and Pixel 6 Pro,https://store.google.com/category/phones?hl=en-US,495
"Outdated, vulnerable open source components shipped with Windows 10 and 11",https://seclists.org/fulldisclosure/2021/Oct/17,242
Version Control for Structure Editing,https://alarmingdevelopment.org/?p=1570,118
